question,answer
Diferença entre uso de substâncias e dependência,"As pessoas tendem a usar a palavra “vício” para significar coisas muito diferentes. “Sou viciado em compras” pode significar apenas que o falante gosta de fazer compras. Por outro lado, “Ele é viciado” pode significar que o falante pensa que a outra pessoa é completamente incapaz de controlar seu próprio comportamento. Quando as pessoas usam a palavra sobre substâncias psicoativas (que alteram a mente), como álcool, tabaco ou outras drogas, geralmente assumem que essas drogas são perigosas e têm o poder de controlar o comportamento humano. A evidência, no entanto, sugere um quadro bem diferente. Embora o uso de substâncias possa contribuir claramente para problemas sociais e de saúde, as substâncias podem ser benéficas para algumas pessoas em algumas situações. Muitas pessoas comemoram uma ocasião especial com uma boa taça de vinho, por exemplo. Algumas pessoas usam o tabaco como um poderoso símbolo em cerimônias culturais e espirituais. De fato, as substâncias têm sido usadas pelos humanos ao longo da história por vários motivos: para se sentir bem, para se sentir melhor, para melhorar o desempenho, por motivos culturais/espirituais e para ter novas experiências. O uso de substâncias é mais complicado do que apenas “bom” ou “ruim”. É útil pensar no uso de substâncias ao longo de um continuum, do uso benéfico ao uso prejudicial. No meio do continuum, o uso de substâncias pode ser benéfico e prejudicial. Você tem uma noite agradável com os amigos, mas se sente um pouco doente no dia seguinte. No extremo, algumas pessoas desenvolvem dependência – elas precisam usar continuamente a droga para se sentirem normais e continuarão usando mesmo quando isso levar a dificuldades financeiras, problemas em casa ou no trabalho, problemas de saúde ou problemas legais. Em geral, o uso de substâncias é um problema quando causa problemas para você ou para os outros – e quanto uso causa problemas será diferente para pessoas diferentes em situações diferentes. A razão pela qual uma pessoa usa uma substância influencia o risco de desenvolver problemas. Por exemplo, se uma pessoa usa uma substância para se divertir, apenas o uso social ocasional pode ocorrer. Mas quando uma pessoa usa uma substância para lidar com um problema de longo prazo, como ansiedade social, pode ocorrer um uso mais duradouro e intenso. Gerenciar nosso risco envolve estar ciente de por que estamos usando e quais impactos nosso uso está causando em nós mesmos e nas pessoas ao nosso redor. A sabedoria de nossos ancestrais sugere um princípio orientador – não muito, nem com muita frequência, e apenas em contextos seguros."
Bebendo demais,"Resolver se você está bebendo demais pode ser complicado. Você é único e sua relação com o álcool é única. Ninguém tem a mesma combinação de experiências de vida e influências que você. Portanto, mesmo que você e seu amigo decidam beber, como e por que você usa álcool pode ser diferente. Aqueles de nós que bebem, buscam benefícios do álcool, não dificuldades. Mas às vezes começamos a usar mais e com mais frequência do que faz sentido. Como regra geral, o consumo de álcool se torna um problema quando afeta negativamente nossa vida ou a vida de outras pessoas. Muitas pessoas imaginam que isso se refere a pessoas que consomem álcool “o dia todo, todos os dias”. Mas mesmo beber demais em uma única ocasião pode levar a um problema, por exemplo, tomar uma decisão ruim, como dirigir com deficiência. O que também é importante reconhecer é o potencial de consequências negativas relacionadas ao consumo de álcool em vários contextos (ou seja, lugares, horários e atividades) e ao longo do tempo (por exemplo, lidar com problemas crônicos). Todo uso de álcool envolve algum risco. As razões pelas quais as pessoas usam álcool podem influenciar o risco de desenvolver problemas. Por exemplo, se uma pessoa usa álcool para melhorar celebrações especiais, apenas o uso social ocasional pode ocorrer. Mas quando uma pessoa bebe para lidar com um problema de longo prazo, como ansiedade social, pode ocorrer um uso mais duradouro e intenso. Ao refletir sobre seu padrão de consumo, você pode gerenciar seu risco de lesões imediatas ou morte, suas chances de consequências de longo prazo para a saúde, como câncer ou doenças cardíacas, e seu risco de desenvolver padrões habituais de consumo que podem levar a esses danos. Sempre que você decidir beber álcool, é útil saber quais medidas você pode tomar para garantir que seu comportamento de beber seja o mais recompensador e menos prejudicial possível. A seguir estão algumas diretrizes úteis a serem consideradas. Não muito. Gerenciar o quanto você bebe em uma determinada ocasião ajuda a diminuir os comportamentos de risco. Dica: Beba devagar e alterne entre bebidas não alcoólicas e alcoólicas. Não com muita frequência. Beber com moderação ajuda a reduzir os danos a nós mesmos e aos outros ao longo do tempo. Dica: Mantenha menos álcool em casa e estabeleça limites de quanto você vai beber a cada semana, evitando beber em alguns dias. Apenas em contextos seguros. Tomar decisões informadas sobre onde você bebe ajuda a minimizar os danos relacionados ao álcool. Dica: Se for a um bar, hospede-se em grupo e escolha um estabelecimento bem iluminado e próximo a opções de transporte seguras."
O que é saúde mental?,"Manter a saúde mental em dia envolve uma busca constante pela qualidade de vida através de autocuidado, relacionamentos saudáveis, hábitos estimulantes e manter uma rede de apoio sólida ao seu redor. Além disso, cuidar da saúde mental também contribui para a saúde física, considerando que problemas como a depressão, ansiedade e estresse podem ser associados a baixa imunidade, insônia e outras doenças."
Importância do cuidar de si mesmo,"Tudo isso mostra como manter a saúde mental em dia é importante. Incluir na rotina algumas atividades de autocuidado tem potencial para promover uma vida mais saudável tanto na questão física quanto mental. Com isso, é possível diminuir os níveis e efeitos do estresse no dia-a-dia, diminuir o risco de doenças e ter mais disposição para lidar com nossas tarefas e responsabilidades. Cuidar de si mesmo é o primeiro passo para cuidar dos outros, por isso, quando se pensa em cuidar da sua família, lembre-se que quanto mais saudável estiver, mais poderá fazer por eles. O segredo é se apoiar em atividades simples, mas que somadas estimulam o corpo e a mente a se manterem elevados."
Problemas com o sono,"Se você sofre com insônia ou dorme demais, é bom ficar atento: as alterações nos padrões de sono são um sintoma de que sua saúde mental precisa de cuidado. É claro que na hora de fazer uma autoavaliação é preciso considerar a frequência dos problemas com o sono, afinal, é bem comum ter uma noite mal dormida depois de um dia estressante no trabalho ou quando se tem muitas preocupações. E cuidar do sono é essencial, pois uma noite bem dormida melhora diversos aspectos da nossa saúde, contribuindo, por exemplo, para a limpeza de toxinas no corpo, a formação de memórias e aprendizados, entre outros"
Isolamento,"Querer manter distância de pessoas importantes e que fazem sentido para a sua vida também é algo que você precisa observar se tem acontecido e de que forma (não é o caso, por exemplo, do isolamento social impulsionado pela pandemia). Avalie também quais desculpas se tem dado para se manter sozinho. O isolamento neste caso é você querer parar de interagir com sua família e amigos e se manter isolado. E essas interações podem ser evitadas também via mensagens, ligações, chamadas de vídeo e claro, presencialmente. Dificuldades para sair da cama e fazer as coisas no seu dia a dia ou perder o interesse em atividades que antes te davam muito prazer também precisam ser observadas, pois elas podem indicar que a sua saúde mental precisa de cuidados"
Variação de humor,"Se independente do que acontecer no seu dia, seu humor oscila com facilidade, fique atento: sua saúde mental está deixando um recado. Observe também se você tem apresentado expressões exageradas de raiva, frustração ou tristeza sem motivo aparente, se tem tido dificuldades para superar determinados sentimentos e se tem uma sensação constante de que perdeu o controle da sua vida"
Alterações no apetite,"Tem comido demais ou sentido zero fome? Dependendo da situação, vale a pena olhar um pouco mais de perto esses sintomas, isso porque, por exemplo, é comum sentir menos fome pela manhã se no dia anterior sua última refeição foi um pouco mais pesada. Além disso, caso perceba que esses sintomas são recorrentes, é ideal procurar um médico. Depressão, ansiedade, estresse, falta de dormir e uso frequente de remédios, por exemplo, são situações que podem provocar alterações no apetite e precisam ser investigadas por um profissional de saúde"
Mudanças de comportamento,"Um dos sinais mais claros de que a saúde mental não vai bem é a presença de comportamentos incomuns. Por exemplo: se você geralmente é uma pessoa comunicativa e agora tem se mantido mais quieta, ou até mesmo o inverso: uma pessoa extremamente introvertida que fica “repentinamente” extrovertida. É bom observar também seu nível de interesse nas atividades e tarefas que geralmente curtia fazer- esse inclusive é um dos principais sintomas de pessoas com depressão"
Dores repentinas e inexplicáveis,"Quando a saúde emocional não está bem, é possível ainda observar a presença de dores físicas inexplicáveis, que podem se apresentar desde uma dor no peito, à dores nas costas, dores de cabeça, na região da lombar, problemas digestivos e outros. Elas são fáceis de identificar porque, geralmente, aparecem “sem motivo aparente” e do nada. Em rastreios médicos por exames, não é incomum que essas dores não sejam identificadas nos exames. Neste caso, é importante ser sincero com o médico em como se sente para além da dor física, de forma que ele te oriente sobre a necessidade de terapia"
Esquecimento frequentes,"Estresse mais uma noite mal dormida não dá outra: a saúde mental é impactada, trazendo consigo lapsos e esquecimentos constantes. Sabe aquele famoso “branco” na hora de uma reunião importante ou os lapsos de memória de um objeto que você acabou de guardar? Eles indicam um esgotamento mental. É hora de parar e cuidar disso, não acha?"
Cansaço que não passa,"Condições que mantêm o cérebro alerta têm o potencial de provocar cansaço mental, pois o estresse drena a energia, deixando uma sensação de esgotamento. Bombardeio de informações e estímulos como redes sociais, acúmulo de tarefas de trabalho, notícias, demandas pessoais, a combinação entre tantos estímulos mentais torna quase impossível se desligar dos acontecimentos. Quem sofre com essa hiper estimulação é o cérebro, que não consegue descansar para repor as energias. Indivíduos com depressão, por exemplo, sentem uma desmotivação profunda e contínua, alimentada pela perda de interesse em atividades prazerosas. Já o burnout pode ser definido como esgotamento generalizado, relacionado ao excesso de trabalho e despersonalização do paciente. Quem sofre com essa hiper estimulação é o cérebro, que não consegue descansar para repor as energias.Indivíduos com depressão, por exemplo, sentem uma desmotivação profunda e contínua, alimentada pela perda de interesse em atividades prazerosas. Já o burnout pode ser definido como esgotamento generalizado, relacionado ao excesso de trabalho e despersonalização do paciente."
Pensamentos acelerados e constantes,"A Síndrome do Pensamento Acelerado é uma alteração, onde a mente fica repleta de pensamentos, estando completamente cheia durante todo o tempo em que a pessoa está acordada, o que dificulta a concentração, aumenta a ansiedade e desgasta a saúde física e mental. Assim, o problema desta síndrome não está relacionado com o conteúdo dos pensamentos, que geralmente são interessantes, cultos e positivos, mas sim com a sua quantidade e a velocidade com que acontecem dentro do cérebro. Normalmente, esta síndrome surge em pessoas que precisam se manter constantemente atentas, produtivas e sob pressão e, por isso, é comum em executivos, profissionais de saúde, escritores, professores e jornalistas. No entanto, tem se observado que até mesmo as crianças tem demonstrado essa síndrome."
Dificuldade de concentração,"A dificuldade de concentração pode ter diversas causas. É natural que, após uma noite de sono mal dormida, ou depois de uma semana de ritmo acelerado e trabalho atípico, nos sintamos um pouco desconectados das nossas habilidades. Nestes casos, o problema tende a abrandar um pouco quando descansamos, dormimos e tiramos um tempo ocioso. Por sua vez, isso permite que reorganizemos os nossos pensamentos, acalmemos o nosso corpo e ganhemos mais foco. Quando a falta de concentração torna-se uma situação diária, no entanto, é preciso estar atento. Há quadros clínicos que têm como sintoma a dificuldade de concentrar-se nas atividades múltiplas. Isso pode causar danos à autoestima, relacionamentos interpessoais e no trabalho. Confira algumas das causas mais comuns da baixa concentração abaixo."
Burnout,"Também chamada de Síndrome do Esgotamento Profissional, é um distúrbio de ordem emocional, caracterizado por esgotamento físico e mental, estresse intenso, exaustão e instabilidade emocional. Como o nome sugere, é uma doença que está atrelada ao excesso de trabalho. Pode acontecer após meses de rotina intensa e é mais comum em trabalhadores que estão submetidos a cargas intensas e altas cobranças. Por conta disso, tendem a deixar de lado a vida pessoal e o lazer. A Síndrome de Burnout causa perda de foco, esquecimento, dificuldade de memorização, irritabilidade e, às vezes, pode engatilhar quadros de choro, explosão emocional ou pânico. Quando não tratada, pode ser responsável por quadros de depressão severa."
Cansaço mental,"O fluxo constante de trabalho e de informações gera desgaste emocional e físico. É como se o indivíduo tivesse uma rotina tão agitada, que precisasse que o dia tivesse 25 horas para dar conta de todas as tarefas, sem falar nas poucas horas de sono. Porque dormir tarde significa ter mais tempo para executar algum trabalho. Identificar os primeiros sinais de cansaço mental é fundamental para o tratamento precoce. Cuidar do cérebro, que consome 20% de toda a energia corpórea, é primordial para evitar a estafa mental. Para isso é preciso ter alguns cuidados diários, como manter em equilíbrio as tarefas profissionais e pessoais; ter uma alimentação equilibrada; uma boa noite de sono; praticar atividade física; respeitar os momentos de descanso e os fins de semana, entre outras ações. São iniciativas simples, que exigem disciplina, comprometimento e atenção com a saúde física e mental."
Perda de interesse,"A anedonia, perda da capacidade de sentir prazer, pode acompanhar diversos quadros. A anedonia está relacionada a baixos níveis de serotonina, dopamina e adrenalina no sistema nervoso. Em geral, causa não apenas ausência de interesse em trabalhar, conversar, sair de casa e até mesmo comer, mas também dificuldade de desenvolver relações de afeto. O paciente também pode sofrer perda de autoestima e de valor pessoal. Outros elementos importantes no sentido individual, como a proximidade com parentes e a libido, também deixam de provocar sentimentos ou reações prazerosas.  A terapia, aliada à utilização de medicamentos – que devem ser definidos apenas por um especialista -, pode fazer imensa diferença no bem-estar e na qualidade de vida da pessoa com falta de interesse pela vida."
Sensação de incapacidade,"O sentimento de incapacidade é um estado emocional causado pela insegurança. Pessoas inseguras perdem diversas oportunidades de crescer em sua carreira justamente por acreditarem que não são boas o suficiente para realizar determinado trabalho. Dicas para superar o complexo de inferioridade são pare de se comparar, a comparação nunca é positiva e não vai fazer você se sentir melhor. Tenha em mente que as pessoas são diferentes e, por isso, possuem necessidades, habilidades, desejos e histórias de vidas diferentes. Mude o foco, ninguém é perfeito. Se você enxergar somente suas imperfeições, nunca se sentirá capaz e confiante. Tire o foco do que está errado e tenha consciência do seu potencial, das tarefas que realiza bem e dos seus dons. Toda vez que se criticar por algo, lembre-se de encontrar pelo menos uma qualidade positiva. Valorize suas conquistas, escreva sobre seus sucessos ao longo da vida, as realizações das quais se orgulha e memórias queridas. Quando se sentir incapaz de fazer alguma coisa, veja sua lista e lembre-se de como você é uma pessoa capaz e fantástica. Desenvolva sua Inteligência Emocional, o complexo de inferioridade está enraizado no desejo de ser como outra pessoa, por falta de amor próprio. Se você quer começar a se amar, precisa olhar para você e para sua história de vida."
Problemas de memória,"Assim como a saúde mental, existe também um outro fator que pode afetar o cérebro que é a perda de memória. Da mesma forma que o corpo, o cérebro também precisa de estímulos para se manter ativo e saudável. E para quem sofre com a perda de memória e de concentração, uma das soluções podem ser os exercícios neuróbicos. Exemplos de exercicios são colocar o relógio de pulso no braço que não é o dominante, escrever com a mão não dominante, tomar banho com a luz apagada, ler de cabeça para baixo, realizam um esforço neurológico maior, que favorece o processo de fortalecimento e criação de novas redes neurais. Ou seja, “tudo o que a gente fizer que for diferente do normal vai favorecer esse processo”."
Tristeza sem motivo aparente,"Em alguns momentos, a tristeza pode estar associada a questões do nosso inconsciente. Ela pode se manifestar quando recebemos estímulos externos que nos afetam sem que nosso lado racional perceba. Nesses casos, a tristeza pode acontecer por conta de sentimentos como o de saudades, raiva, sono e até fome. É um sentimento normal que não afeta nossa produtividade. Mesmo tristes conseguimos fazer as tarefas simples do dia a dia. A tristeza comum basicamente é um sentimento passageiro. Nos sentimos sem ânimo, insatisfeitos e até com vontade de chorar. Porém, essa é apenas uma situação ruim, que deve melhorar em um ou dois dias. Já na depressão a intensidade, a duração e o impacto do sentimento de tristeza são bem maiores. Além disso, a depressão inclui não só a tristeza, mas também angústia, apatia, pensamentos pessimistas, choro, problemas com sono. Só um profissional pode avaliar se há realmente um quadro de depressão e, consequentemente, a necessidade do uso de medicamentos, combinado com a psicoterapia."
Falta de paciência e irritação,"A irritabilidade é o estado emocional ou reação ocasionados por estímulos que provoquem raiva ou frustração, irritabilidade também causa sintomas emocionais. Dentre os principais estão: Intolerância e impaciência: pessoas irritadas costumam ter um baixo nível de tolerância e paciência. Por isso, qualquer mínimo motivo pode tirá-las do sério. Surto emocional: a irritabilidade excessiva pode fazer a pessoa passar do limite. Ou seja, gerar descontrole emocional, reações exageradas e atitudes extremistas. Raiva e agressividade: o indivíduo muito nervoso e irritado pode se tornar agressivo em todos os sentidos. A raiva pode dificultar o raciocínio lógico e resultar em comportamentos rudes, que podem envolver até o uso da força física. Pensamentos negativos: a pessoa irritada entra em um ciclo vicioso, pois a irritação constante gera pensamentos negativos. Quanto mais negatividade, maior é a tendência a desenvolver falta de paciência e irritabilidade."
Problemas digestivos,"Problemas gastrointestinais também podem provocar ansiedade, tornando ainda mais difícil vida de quem sofre com os sintomas. Mostrar como essas condições estão interligadas pode ajudar quem sofre com elas, pois, em muitos casos, o tratamento psicológico pode melhorar os sintomas digestivos. É pela forte conexão entre intestino e cérebro que o trato gastrointestinal é tão sensível à emoção. Por essa comunicação entre as duas áreas distintas do organismo, é comum que a ansiedade, quando exacerbada, desencadeie ou agrave problemas como azia, indigestão, prisão de ventre, gases e diarreia – sintomas que atrapalham o dia a dia de quem convive com o quadro. Se você está estressado ou ansioso, isso pode fazer seu intestino desacelerar ou acelerar. Para uma digestão saudável, você precisa de bastante fibra, líquidos e exercícios regulares. Alimentos saudáveis para o intestino incluem, por exemplo, frutas, vegetais e grãos integrais e leguminosas, além do consumo de bastante água."
"Dor de cabeça constante, enxaqueca","Tanto a enxaqueca quanto esses transtornos mentais podem estar relacionados a diversas alterações neuroquímicas no cérebro. Por exemplo, a baixa de serotonina, que é observada em pacientes depressivos e também é vista nos indivíduos durante uma crise desse tipo de dor de cabeça. Por isso, os pacientes com depressão e ansiedade e que possuem predisposição genética têm maior chance e terem crises de enxaqueca. Assim como os transtornos mentais podem desencadear a enxaqueca, eles também podem ser consequências dessa intensa dor de cabeça frequente. Por ser uma doença muito incapacitante, a enxaqueca costuma despertar sentimentos de impotência e de tristeza. Isso porque, as dores intensas atrapalham a execução de tarefas e prejudicam demais a qualidade de vida. É muito comum que os enxaquecosos possuam indícios de depressão e ansiedade. As crises podem aparecer em momentos inesperados e afetam diretamente o desempenho no trabalho e estudos, por exemplo. Por isso, é importante aprender a manejar melhor os sentimentos, comportamentos e hábitos de vida. Assim, é mais fácil de evitar os gatilhos emocionais que podem causar essa dor de cabeça intensa."
Comportamento incomum,"Comportamentos incomuns podem ser um sinal de alerta da sua saúde mental, transtorno de humor é a segunda doença mais comum entre todos os transtornos mentais, sendo um sinal de que a sua saúde mental como um todo não anda muito bem. Atitudes como se isolar de todos, evitar sair com os amigos, de participar de festas; podem não ser um bom sinal e podem ser sintomas relacionados à depressão, transtorno bipolar, ansiedade, entre outros. Os maiores sinais de alerta de uma doença mental é a mudança de comportamento, como nos casos que uma pessoa que é bem falante e, do nada, passa a ficar calada ou uma pessoa que seja considerada como introvertida, começa a ficar de uma hora para outra, estranhamente extrovertida."
